"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 11 20:48:47 CST 2019","Thu Jul 11 20:49:07 CST 2019","20272","","02_pytest_selenium","","","","test_morning",""
"passed","Thu Jul 11 20:49:07 CST 2019","Thu Jul 11 20:49:07 CST 2019","0","","02_pytest_selenium","","","","test_baidu",""
